ID,Page_name,Response_time,StartTime,EndTime
7411,01_Login,4.546,25-11-2022 03:18,25-11-2022 03:18
7412,02_Watchlist,0.956,25-11-2022 03:19,25-11-2022 03:19
7413,03_Logout,2.152,25-11-2022 03:20,25-11-2022 03:20
7414,01_Login,1.673,25-11-2022 03:32,25-11-2022 03:32
7415,02_Watchlist,0.72,25-11-2022 03:32,25-11-2022 03:32
7416,03_Logout,2.233,25-11-2022 03:32,25-11-2022 03:32
7417,01_Login,1.644,25-11-2022 03:42,25-11-2022 03:42
7418,02_Watchlist,0.928,25-11-2022 03:42,25-11-2022 03:42
7419,03_Logout,2.111,25-11-2022 03:42,25-11-2022 03:42
7420,01_Login,1.249,25-11-2022 03:47,25-11-2022 03:47
7421,02_Watchlist,0.885,25-11-2022 03:47,25-11-2022 03:47
7422,03_Logout,2.196,25-11-2022 03:48,25-11-2022 03:48
7423,01_Login,0.481,25-11-2022 04:11,25-11-2022 04:11
7424,02_Watchlist,0.968,25-11-2022 04:11,25-11-2022 04:11
7425,03_Logout,2.193,25-11-2022 04:11,25-11-2022 04:11
7426,01_Login,0.767,25-11-2022 04:20,25-11-2022 04:20
7427,02_Watchlist,0.943,25-11-2022 04:20,25-11-2022 04:20
7428,03_Logout,2.153,25-11-2022 04:21,25-11-2022 04:21
7429,01_Login,1.199,25-11-2022 04:25,25-11-2022 04:25
7430,02_Watchlist,0.708,25-11-2022 04:25,25-11-2022 04:25
7431,03_Logout,2.158,25-11-2022 04:26,25-11-2022 04:26
7432,01_Login,1.996,25-11-2022 04:30,25-11-2022 04:30
7433,02_Watchlist,0.856,25-11-2022 04:30,25-11-2022 04:30
7434,03_Logout,2.273,25-11-2022 04:31,25-11-2022 04:31
7435,01_Login,1.232,25-11-2022 04:35,25-11-2022 04:35
7436,02_Watchlist,0.999,25-11-2022 04:35,25-11-2022 04:35
7437,03_Logout,2.215,25-11-2022 04:36,25-11-2022 04:36
7438,01_Login,2.175,25-11-2022 04:40,25-11-2022 04:40
7439,02_Watchlist,1.069,25-11-2022 04:40,25-11-2022 04:40
7440,03_Logout,2.179,25-11-2022 04:41,25-11-2022 04:41
7441,01_Login,0.885,25-11-2022 04:51,25-11-2022 04:51
7442,02_Watchlist,0.89,25-11-2022 04:51,25-11-2022 04:51
7443,03_Logout,2.149,25-11-2022 04:51,25-11-2022 04:51
7444,01_Login,0.821,25-11-2022 04:55,25-11-2022 04:55
7445,02_Watchlist,1.483,25-11-2022 04:55,25-11-2022 04:55
7446,03_Logout,2.282,25-11-2022 04:56,25-11-2022 04:56
